,user,text,favorite_count,retweet_count,created_at
166,elonmusk,And 90% of my comments are bots 🤖 https://t.co/A7RKyNJZoR,80846,4654,2022-09-05 18:18:01+00:00
167,elonmusk,"Almost every male character so far is a coward, a jerk or both. Only Galadriel is brave, smart and nice.",135268,8770,2022-09-05 18:15:24+00:00
168,elonmusk,@WholeMarsBlog Release of 10.69.2 probably end of week. Needs a bit more polish.,4256,275,2022-09-05 18:03:23+00:00
169,elonmusk,Tolkien is turning in his grave,293445,28897,2022-09-05 18:01:44+00:00
170,elonmusk,"@WholeMarsBlog 10.69.2 has a relatively small number of code changes, but their practical effect will be significant",8360,416,2022-09-05 17:59:54+00:00
171,elonmusk,@SpaceX More Starlinks reach orbit,30466,1412,2022-09-05 17:36:15+00:00
172,elonmusk,@andst7 It will probably help proportionate to the cost of raising children,2093,111,2022-09-05 17:02:23+00:00
173,elonmusk,@andst7 Important. South Korea is currently tracking to lose about half its population roughly every generation. Long lifespan hides the dire nature of the problem.,21709,1442,2022-09-05 16:16:41+00:00
174,elonmusk,@cb_doge .@Chrisrock invited me to open for one of his shows. Thanks Chris! I will try not to flounder too much.,48342,2029,2022-09-04 01:19:02+00:00
175,elonmusk,"@sirxapex @SciGuySpace Yes, also very important",2755,118,2022-09-04 01:16:08+00:00
176,elonmusk,"@SciGuySpace Accurate assessment. Raptor design started out using H2, but switched to CH4. Latter is best combo of high efficiency &amp; ease of operation imo.

Delta-v difference between H2 &amp; CH4 is small for most missions, because CH4 tank is much smaller &amp; no insulation is needed.",10522,726,2022-09-04 01:13:41+00:00
177,elonmusk,@heydave7 Moody’s is irrelevant,36218,2182,2022-09-03 02:09:27+00:00
178,elonmusk,https://t.co/L8gLdGE74c,83911,7553,2022-09-03 02:06:02+00:00
179,elonmusk,@Michaelgr1011 @LAPDHQ @RickCarusoLA @ericgarcetti @MayorOfLA @lapdVanNuysDiv Hope Connor is ok!,8949,351,2022-09-01 20:49:50+00:00
180,elonmusk,@VinceCoglianese !!,20879,1692,2022-09-01 18:55:35+00:00
181,elonmusk,@waitbutwhy @Kurz_Gesagt !,7754,322,2022-09-01 16:18:26+00:00
182,elonmusk,"On a $/bot basis, this deal is awesome",57351,3152,2022-09-01 04:09:39+00:00
183,elonmusk,"Sure sounds higher than 5%!
 https://t.co/Va7TxxzoI6",94657,11334,2022-09-01 04:05:27+00:00
184,elonmusk,@ChrisZheng001 I intend to do so as soon as possible,12040,431,2022-08-31 15:39:27+00:00
185,elonmusk,@teslaownersSV 🤣,49161,1148,2022-08-31 15:16:57+00:00
186,elonmusk,"@SciGuySpace Yeah, aiming for up to 100 flights next year",15336,775,2022-08-31 15:13:23+00:00
187,elonmusk,Now launching every ~5 days https://t.co/KJYG5CKPYx,60741,5126,2022-08-31 15:06:53+00:00
188,elonmusk,@WholeMarsBlog @jonbbc @aelluswamy 10.69.2 goes out to 100k owners next week,5935,480,2022-08-30 22:52:58+00:00
189,elonmusk,@MuskUniversity SJM question,8826,341,2022-08-30 22:51:00+00:00
190,elonmusk,Spent the day walking entire Giga Berlin production line – team is doing excellent work!,116609,5656,2022-08-30 22:50:03+00:00
191,elonmusk,"@jonbbc @WholeMarsBlog @aelluswamy 10.69.1 is even better. We reduced latency &amp; jitter in hardware command loop, so time from object detection to brake actuation is 10% to 20% better.",7831,476,2022-08-30 22:47:31+00:00
192,elonmusk,Kickass Internet connection coming Royal Caribbean ships soon! https://t.co/8qJRiUuNah,66704,4955,2022-08-30 22:38:14+00:00
193,elonmusk,@MuskUniversity It’s true,16582,730,2022-08-30 08:38:22+00:00
194,elonmusk,@teslaownersSV @SpaceX Ancient times,26896,860,2022-08-30 08:38:06+00:00
